INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
snow	sony	mikado snow fox 360	mikado sony fox 360	yes	61.49%
tourer	touareg	opel astra j sport tourer	opel astra j sport touareg	no	87.82%
shultz	shulz	claus shultz	claus shulz	yes	99.99%
prism	prime	prism frame	prime frame	no	99.47%
audio	audi	triangle audio altea borea	triangle audi altea borea	no	99.98%
akai	kia	akai sw-155	kia sw-155	yes	89.65%
mito	moto	alfa romeo mito фара	alfa romeo moto фара	no	93.82%
cts	gtx	cts бампер	gtx бампер	yes	51.61%
bock	book	otto bock с электроприводом	otto book с электроприводом	no	89.99%
esx	eos	esx qe	eos qe	no	81.94%
wolkswagen	volkswagen	wolkswagen jetta 6	volkswagen jetta 6	yes	98.28%
ines	anex	ines коляска	anex коляска	no	99.99%
excf	exc	ktm excf	ktm exc	no	94.22%
shark	smart	razer black shark	razer black smart	no	61.74%
aser	acer	aser z5761	acer z5761	yes	92.66%
akai	kia	akai 93	kia 93	no	99.93%
-шуба	шуба	bosco-шуба-туфли-замш-бриджи-mara-kenzo-armani-boss-классический-reebok	bosco шуба-туфли-замш-бриджи-mara-kenzo-armani-boss-классический-reebok	no	98.81%
шеврале	шевроле	мозги для шеврале круз	мозги для шевроле круз	yes	99.72%
аккамуляторы	аккумулятор	dji аккамуляторы inspire	dji аккумулятор inspire	yes	99.99%
samung	samsung	iphone 6s обмен на samung	iphone 6s обмен на samsung	yes	97.81%
caravele	caravelle	volswagen caravele	volswagen caravelle	no	57.07%
xaoimi	xiaomi	xaoimi redmi 4x	xiaomi redmi 4x	yes	99.34%
ghbynth	принтер	ghbynth	принтер	yes	99.80%
акамулятор	аккумулятор	акамулятор makita шуруповерт	аккумулятор makita шуруповерт	yes	99.99%
santony	santoni	santony	santoni	yes	84.41%
rsd	rcd	rsd 510 bosh	rcd 510 bosh	no	81.36%
гинератор	генераторы	бензиновый гинератор москва	бензиновый генераторы москва	yes	95.51%
gaia	kia	gaia project	kia project	yes	57.55%
буцы	бусы	буцы для футбола размер 36	бусы для футбола размер 36	no	97.11%
abc	abs	abc willi go	abs willi go	yes	59.64%
bmx	bmw	bmx в спб	bmw в спб	yes	91.12%
ericson	ericsson	ericson t28	ericsson t28	yes	99.47%
lanser	lancer	9 abs lanser	9 abs lancer	yes	99.96%
салярис	солярис	автомагнитолы хендай салярис	автомагнитолы хендай солярис	yes	94.24%
rhb	rgb	блендер rhb 2908 редмонд	блендер rgb 2908 редмонд	yes	73.84%
cover	rover	power cover	power rover	yes	87.15%
conwoy	convoy	conwoy	convoy	yes	99.82%
компресора	компрессора	провода подключения для компресора	провода подключения для компрессора	yes	99.61%
антены	антенны	антены для тв	антенны для тв	yes	99.85%
шааз	газ	автономка шааз	автономка газ	no	99.83%
pod	ipad	line6 pod hd500	line6 ipad hd500	no	81.38%
blanc	black	bvlgari au the blanc	bvlgari au the black	no	81.78%
амартизаторы	амортизатора	амартизаторы форд фокус 1	амортизатора форд фокус 1	no	84.81%
xiomi	xiaomi	xiomi mi телефоны	xiaomi mi телефоны	yes	99.81%
lands	land	lands end	land end	no	94.64%
манга	мангал	cross манга	cross мангал	no	84.98%
savero	sandero	235 65 r17 savero	235 65 r17 sandero	no	84.11%
elita	elite	a elita	a elite	no	69.38%
gti	gtx	gti впуск	gtx впуск	yes	79.35%
antmainer	antminer	a8 antmainer	a8 antminer	yes	57.68%
купюр	куплю	альбом для купюр	альбом для куплю	no	92.61%
комикс	домик	predator комикс	predator домик	no	99.96%
alien	klein	lego alien conquest	lego klein conquest	no	93.49%
eve	evo	eve online	evo online	no	99.94%
акссесуары	аксессуары	акссесуары для шевролет нивы	аксессуары для шевролет нивы	yes	85.59%
flight	light	flight	light	no	96.40%
move	love	x-lander x move 2 в 1	x-lander x love 2 в 1	no	99.96%
марино	марьино	toyota corolla марино	toyota corolla марьино	yes	61.57%
богажники	багажника	богажники на фаркоп	багажника на фаркоп	yes	79.69%
uhba	гриф	uhba	гриф	yes	99.99%
diaton	diatone	diaton ds	diatone ds	yes	99.82%
шевралет	шевроле	автомобиль шевралет лачети	автомобиль шевроле лачети	yes	99.99%
бомбер	бампер	бомбер милитари	бампер милитари	no	94.19%
roo	rio	mama roo 4	mama rio 4	yes	79.84%
батники	ботинки	батники	ботинки	no	99.28%
elie	elite	elie saab платье	elite saab платье	no	99.95%
redmo	redmi	redmo note 2	redmi note 2	yes	99.98%
jsb	osb	jsb 160	osb 160	no	93.34%
jms	jmc	jms 125	jmc 125	yes	99.84%
sonja	sonia	sonja	sonia	yes	91.44%
celvin	celine	celvin klein белье оригинал	celine klein белье оригинал	no	99.95%
-руль	дрель	thrustmaster-руль-авиа-штурвал-flight-gun-hotas-wheel-wireless-самолет-беспроводной	thrustmaster дрель-авиа-штурвал-flight-gun-hotas-wheel-wireless-самолет-беспроводной	no	99.98%
автомобил	автомобилей	акумулятор для автомобил	акумулятор для автомобилей	yes	91.17%
тохатцу	тохатсу	наклейка 9 9 тохатцу	наклейка 9 9 тохатсу	no	88.74%
баннет	банет	баннет	банет	no	99.96%
eaudemoiselle	mademoiselle	givenchy eaudemoiselle de givenchy	givenchy mademoiselle de givenchy	no	59.78%
servier	server	servier	server	yes	55.37%
akai	kia	akai apc 40	kia apc 40	no	56.77%
noor	honor	koh i noor	koh i honor	no	99.91%
mitsubisi	mitsubishi	mitsubisi montero sport	mitsubishi montero sport	yes	99.92%
акуммулятор	аккумулятор	акуммулятор б у	аккумулятор б у	yes	99.98%
audio	audi	bss audio	bss audi	no	89.43%
mersedes	mercedes	mersedes actros рама	mercedes actros рама	yes	96.72%
rjhdtn	корвет	rjhdtn	корвет	yes	99.98%
asic	asus	asic запчасти	asus запчасти	yes	98.02%
акамулятор	аккумулятор	акамулятор для шуруповерта интерскол	аккумулятор для шуруповерта интерскол	yes	99.16%
puch	push	puch maxi	push maxi	no	98.34%
cумка	сумки	cумка мужская оригинал	сумки мужская оригинал	no	99.97%
супорт	суппорта	mazda 6 gg супорт	mazda 6 gg суппорта	yes	94.60%
бамер	банер	hyundai ix35 передний бамер	hyundai ix35 передний банер	no	99.86%
guliver	gulliver	guliver зимний	gulliver зимний	yes	99.98%
кет	кот	артик кет 660	артик кот 660	no	89.36%
суточно	срочно	архангельск квартиры по суточно	архангельск квартиры по срочно	no	98.51%
анотомический	анатомический	анотомический руль бмв	анатомический руль бмв	yes	82.64%
tokina	nokia	tokina 50-135mm	nokia 50-135mm	no	86.74%
hasstings	hasttings	hasstings	hasttings	yes	99.97%
официально	официальна	6s официально восстановленные	6s официальна восстановленные	no	99.54%
vii	iii	maximus vii formula watch dog	maximus iii formula watch dog	no	98.22%
cover	rover	keyboard cover	keyboard rover	no	99.62%
fokus	focus	rs ford fokus	rs ford focus	yes	82.64%
дифлекторы	дефлектор	ford fiesta дифлекторы	ford fiesta дефлектор	yes	85.83%
xiomi	xiaomi	xiomi mijia	xiaomi mijia	yes	99.97%
vector	vectra	kapro prolaser vector	kapro prolaser vectra	no	99.38%
antmainer	antminer	antmainer	antminer	yes	99.44%
колпаки	коляски	camry колпаки	camry коляски	yes	92.50%
роберт	ровер	большая книга гаданий роберт ли кэмп	большая книга гаданий ровер ли кэмп	no	97.49%
maincraft	minecraft	maincraft ps4	minecraft ps4	yes	99.83%
lene	line	lene	line	no	90.64%
юлмарт	смарт	rx 470 юлмарт	rx 470 смарт	no	64.46%
volga	volvo	volga volga	volvo volvo	no	68.29%
герои	город	герои наших дней 1961	город наших дней 1961	no	99.14%
двигател	двигатель	opel astra g двигател	opel astra g двигатель	yes	99.43%
acura	astra	acura rl	astra rl	no	89.82%
алюминевая	алюминиевая	алюминевая вёсельная лодка	алюминиевая вёсельная лодка	yes	99.11%
дрель	дверь	аккумуляторная дрель мощная	аккумуляторная дверь мощная	no	99.72%
shadows	shadow	unleashed shadows in the deep	unleashed shadow in the deep	yes	66.08%
infamos	infamous	infamos	infamous	yes	79.36%
acura	astra	acura коврик	astra коврик	no	99.61%
giovanna	giovanni	giovanna r20	giovanni r20	yes	76.18%
бдн	бдм	бдн алмаз	бдм алмаз	no	99.90%
tourer	touareg	tourer v chaser	touareg v chaser	no	99.91%
storm	sport	1050 storm x	1050 sport x	no	99.79%
sub	usb	heco krypton sub 25 a	heco krypton usb 25 a	no	95.95%
аккамулятор	аккумулятор	аккамулятор мотоцикл	аккумулятор мотоцикл	yes	99.71%
прадажа	продажа	авто прадажа	авто продажа	yes	98.58%
горла	форма	аппарат для горла	аппарат для форма	no	97.81%
yamaxa	yamaha	yamaxa ybr	yamaha ybr	yes	89.71%
бориста	бариста	бориста	бариста	yes	99.99%
лепс	лепсе	браслет лепс	браслет лепсе	no	99.68%
youngnuo	yongnuo	youngnuo 35	yongnuo 35	yes	68.32%
gsb	jcb	bosch gsb 36	bosch jcb 36	no	99.89%
aero	air	автобусы hyundai aero	автобусы hyundai air	yes	56.54%
bloch	boch	bloch 38	boch 38	no	88.77%
кросовки	кроссовки	coach кросовки	coach кроссовки	yes	99.99%
корридор	коридор	банкетка в корридор	банкетка в коридор	yes	99.99%
fsport	sport	lexus fsport	lexus sport	yes	66.09%
беу	беру	беу телефоны	беру телефоны	no	95.25%
бомбер	бампер	бомбер sandro	бампер sandro	no	94.01%
старий	старой	паповди квартиру старий купавна	паповди квартиру старой купавна	yes	99.99%
дрель	дверь	festool дрель	festool дверь	no	99.94%
elary	elari	elary	elari	yes	99.99%
azonik	azonic	azonik love seat	azonic love seat	yes	99.90%
жилет	лет	бордовый жилет	бордовый лет	no	99.99%
byf	byd	crdf byf	crdf byd	no	76.66%
killburn	kilburn	marshall killburn	marshall kilburn	yes	99.68%
bme	bmw	bme e 34	bmw e 34	yes	99.69%
стелаж	стола	билли стелаж	билли стола	no	99.97%
mersedes	mercedes	mersedes x класс	mercedes x класс	yes	99.99%
cute	cut	tommy cute	tommy cut	no	87.62%
лётные	летние	ботинки лётные	ботинки летние	no	87.75%
алюминевые	алюминиевые	алюминевые борты	алюминиевые борты	yes	81.33%
апарат	аппарат	апарат для	аппарат для	yes	94.80%
зборе	сборе	f06 бампер в зборе	f06 бампер в сборе	yes	99.99%
hundai	hyundai	hundai elantra	hyundai elantra	yes	95.61%
clein	calvin	calvin clein сумка мужская	calvin calvin сумка мужская	yes	85.26%
axon	canon	axon 6	canon 6	no	54.65%
телефизор	телевизор	автомобильный потолочный телефизор	автомобильный потолочный телевизор	yes	99.99%
кованные	кожаные	кованные столы в симферополе	кожаные столы в симферополе	no	99.97%
богажник	багажника	богажник на крышу нексию	багажника на крышу нексию	no	87.02%
kerri	kerry	kerri 104	kerry 104	yes	99.99%
radion	radeon	radion 5770	radeon 5770	yes	99.21%
топлевного	топливного	горловина топлевного бака под сварку	горловина топливного бака под сварку	yes	99.99%
мандео	мондео	автозапчасти на мандео	автозапчасти на мондео	yes	98.90%
fogger	jogger	thermo fogger burgess	thermo jogger burgess	no	74.97%
ldbufntkm	двигатель	ldbufntkm ufp-53	двигатель ufp-53	yes	99.99%
матерински	материнский	айфон х матерински плата	айфон х материнский плата	yes	99.99%
сандал	сандалии	белый сандал	белый сандалии	no	97.76%
батарейная	батарейках	батарейная ручка для canon 40d	батарейках ручка для canon 40d	no	57.79%
cdr	cd-r	yamaha hdd cd recorder cdr hd1500	yamaha hdd cd recorder cd-r hd1500	yes	97.07%
bmv	bmw	bmv k1600	bmw k1600	yes	98.58%
discover	discovery	discover pro	discovery pro	yes	96.52%
clan	clank	wu tang clan	wu tang clank	no	99.98%
батильоны	ботильоны	батильоны новые 41 размер	ботильоны новые 41 размер	yes	81.77%
акссесуары	аксессуар	акссесуары	аксессуар	yes	93.68%
kapussta	kapusssta	kapussta	kapusssta	no	99.99%
тример	триммеру	husqvarna тример	husqvarna триммеру	yes	99.98%
умз	уаз	блок целиндров умз на газель	блок целиндров уаз на газель	yes	88.45%
erato	cerato	erato apollo 7	cerato apollo 7	yes	96.66%
bounse	bonce	adidas bounse	adidas bonce	no	91.98%
женск	женская	marc jacobs женск	marc jacobs женская	yes	98.12%
prg	pro	casio pro trek prg	casio pro trek pro	no	64.91%
ват	авто	блок питания 2200 ват	блок питания 2200 авто	no	99.55%
elt	elc	elt	elc	no	94.15%
акамулятор	аккумулятор	акамулятор для эхолота	аккумулятор для эхолота	yes	96.51%
виво	пиво	асус виво таб	асус пиво таб	no	52.30%
калеса	колёса	traxxas xo-1 калеса	traxxas xo-1 колёса	yes	99.99%
альфард	альфа	автомагнитола тойота альфард	автомагнитола тойота альфа	no	64.44%
viper	super	viper elite	super elite	yes	74.21%
бортавой	бортовой	бортавой полуприцеп	бортовой полуприцеп	yes	99.99%
климота	климата	блок климота ford	блок климата ford	yes	71.17%
ads	abs	блок ads хундай акцент	блок abs хундай акцент	yes	96.92%
pst	psp	bosch pst	bosch psp	yes	58.43%
реле	руля	harley davidson реле регулятор	harley davidson руля регулятор	no	99.65%
амортизаторные	амортизаторы	bmw амортизаторные опоры	bmw амортизаторы опоры	no	99.98%
pour	power	havana pour elle aramis	havana power elle aramis	no	97.97%
streem	stream	hp streem	hp stream	yes	97.69%
номерной	номеров	mazda 3 номерной знак	mazda 3 номеров знак	no	99.53%
аллюминиевый	алюминиевый	аллюминиевый радиатор отопления	алюминиевый радиатор отопления	yes	99.99%
cvh	смр	cvh 1 6	смр 1 6	no	87.67%
hth	htc	hth	htc	no	99.83%
glx	glc	passat b3 glx	passat b3 glc	yes	72.51%
автомабиль	автомобиль	автомабиль 2007	автомобиль 2007	yes	99.99%
tdi	audi	1 9 tdi afn блок цилиндров	1 9 audi afn блок цилиндров	no	63.35%
баян	бани	баян армавир	бани армавир	no	85.84%
akai	kia	akai element	kia element	no	95.98%
бош	бак	бош топливный электрический	бак топливный электрический	yes	73.41%
ericson	ericsson	ericson laboratoire	ericsson laboratoire	no	93.29%
ark	mark	ark survival evolved диск ps4	mark survival evolved диск ps4	no	96.68%
spin	pin	acer spin 1 sp111	acer pin 1 sp111	no	99.99%
пасат	пассат	бампер пасат	бампер пассат	yes	99.45%
iphine	iphon	iphine	iphon	no	95.65%
hundai	hyundai	hundai h 1	hyundai h 1	yes	99.99%
hundai	hyundai	hundai i 40 фара левая	hyundai i 40 фара левая	yes	99.99%
rolex	rover	rolex оригинал золото	rover оригинал золото	no	99.97%
mara	zara	max mara рубашка	max zara рубашка	no	99.95%
надьчик	нальчик	адиюг надьчик	адиюг нальчик	no	65.69%
гэс	гск	4а гэс	4а гск	no	94.05%
панцырь	панцирь	jofa панцырь	jofa панцирь	yes	87.77%
дачик	датчики	бмв х5 е70 дачик	бмв х5 е70 датчики	yes	99.99%
squaer	squier	squaer	squier	no	70.48%
госитель	гаситель	brinkmann 450 госитель	brinkmann 450 гаситель	yes	99.99%
кондинционер	кондиционер	автономный кондинционер на крышу грузового авто	автономный кондиционер на крышу грузового авто	yes	95.00%
audio	audi	so audio 19	so audi 19	no	56.84%
апораты	апорат	для маникюршиц апораты шилаки	для маникюршиц апорат шилаки	no	99.65%
agent	avent	agent provocateur lorna	avent provocateur lorna	no	96.64%
scoda	skoda	scoda литые диски оригинальный	skoda литые диски оригинальный	yes	90.54%
фитнесс	фитнесом	абонимент фитнесс 24	абонимент фитнесом 24	no	98.57%
pike	nike	rock shox pike	rock shox nike	no	72.32%
quite	quiet	be quite	be quiet	yes	95.93%
чихол	чехол	samsung galaxy s6 edge чихол	samsung galaxy s6 edge чехол	yes	99.83%
xaiomi	xiaomi	xaiomi redmi note 3	xiaomi redmi note 3	yes	98.71%
астрал	астра	астрал	астра	no	97.81%
дастр	дастер	бампер рено дастр	бампер рено дастер	yes	97.69%
keg	kef	party keg	party kef	no	98.47%
робот	работы	panda i5 робот	panda i5 работы	no	99.74%
cuper	cooper	mini cuper s	mini cooper s	yes	99.92%
амартизаторы	амортизатор	амартизаторы на бмв е38	амортизатор на бмв е38	yes	89.06%
вариатор	радиатор	teana l33 вариатор	teana l33 радиатор	no	94.59%
антена	антенна	антена на ховер	антенна на ховер	yes	99.99%
авозапчасти	автозапчасти	авозапчасти опом газель	автозапчасти опом газель	yes	99.99%
зеленка	зеленый	2-ка квартира зеленка	2-ка квартира зеленый	no	57.74%
дюма	дюйма	александр дюма собрание сочинений	александр дюйма собрание сочинений	no	99.71%
epiphone	iphone	epiphone электроакустическая	iphone электроакустическая	yes	52.68%
кросовки	кроссовки	adidas кросовки мужские	adidas кроссовки мужские	yes	99.98%
alive	active	xline alive	xline active	no	82.85%
kicx	kia	kicx qs4 95	kia qs4 95	no	53.43%
words	world	and number words	and number world	no	96.64%
mfc	mac	brother mfc	brother mac	no	99.93%
калонка	колонки	аудио калонка дома	аудио колонки дома	no	77.74%
рейна	рейма	paola reina паола рейна одежда	paola reina паола рейма одежда	no	58.52%
кардан	карта	suzuki jimny кардан	suzuki jimny карта	no	99.99%
jcd	jcb	аренда трактора jcd в ломоносове	аренда трактора jcb в ломоносове	yes	98.75%
hdt	hdr	hdt	hdr	no	98.93%
blaze	blade	blaze of glory	blade of glory	no	80.66%
бартер	бампер	бартер айфон 6	бампер айфон 6	no	96.02%
футов	кузов	230 футов	230 кузов	no	99.88%
четки	щетки	авторские четки	авторские щетки	no	99.18%
bosh	bosch	bosh армянский сигнал	bosch армянский сигнал	yes	99.99%
bosh	bosch	bosh морозильник	bosch морозильник	yes	97.90%
explore	explorer	explore трюковой	explorer трюковой	no	90.61%
rizen	razer	rizen 3	razer 3	no	54.48%
gsx	gtx	suzuki gsx 1300r	suzuki gtx 1300r	no	69.94%
omni	one	numark omni	numark one	yes	56.58%
ключь	ключа	ключь на астра	ключа на астра	no	97.85%
ego	evo	бак для ego	бак для evo	yes	61.74%
mishelin	michelin	mishelin latitude cross	michelin latitude cross	yes	95.72%
нокия	нексия	батарея нокия	батарея нексия	no	99.69%
subary	subaru	subary b13	subaru b13	yes	99.89%
обменяю	обмена	антуриум обменяю	антуриум обмена	no	99.16%
shmits	schmitz	shmits	schmitz	yes	97.63%
ymaha	yamaha	ymaha yz	yamaha yz	yes	94.36%
astron	aston	heco astron 500	heco aston 500	yes	93.36%
römer	romer	römer kidfix	romer kidfix	no	99.50%
зафира	защита	бампер передний опель зафира	бампер передний опель защита	no	77.82%
mpower	power	msi z77 mpower	msi z77 power	no	99.35%
шаровая	газовая	бмв е30 шаровая	бмв е30 газовая	no	99.53%
fame	game	the fame	the game	no	91.83%
chromo	chroma	chromo	chroma	no	99.99%
golg	golf	6 s rose golg	6 s rose golf	no	97.56%
босаножки	босоножки	босаножки удобные	босоножки удобные	yes	99.98%
smail	smile	lifan smail	lifan smile	yes	57.67%
шврале	шевроле	авто шврале лостии хажибек	авто шевроле лостии хажибек	yes	99.83%
manik	magic	norco manik	norco magic	no	74.20%
samsng	samsung	samsng galaxy s9 qualcomm	samsung galaxy s9 qualcomm	yes	96.80%
kira	zara	kira plastinina xs	zara plastinina xs	no	99.88%
xlo	xlr	xlo signature	xlr signature	no	96.70%
розбор	разбор	авто розбор газель	авто разбор газель	yes	85.15%
коронка	колонки	алмазная коронка 120мм	алмазная колонки 120мм	no	99.99%
bms	bmw	плата bms	плата bmw	no	80.04%
dva	dvi	alpine dva 9965r	alpine dvi 9965r	no	99.98%
tone	one	tone port	one port	no	99.16%
baw	bmw	baw 2013	bmw 2013	yes	86.32%
адаптор	адаптеры	адаптор фотоаппарата sony	адаптеры фотоаппарата sony	yes	99.91%
xiomi	xiaomi	xiomi redmi note 3 pro	xiaomi redmi note 3 pro	yes	99.97%
bose	bosch	bose мазда	bosch мазда	no	87.78%
стоп	стол	авто задний назад стоп	авто задний назад стол	no	99.04%
mersedes	mercedes	mersedes v-class	mercedes v-class	yes	99.99%
матиз	машин	б у запчасти на деу матиз бампер	б у запчасти на деу машин бампер	no	99.95%
brio	pro	brio дорога	pro дорога	no	99.91%
xls	xlr	xls concept	xlr concept	yes	94.86%
kit	kia	canon 6d kit	canon 6d kia	no	99.98%
hands	honda	satin hands mary kay	satin honda mary kay	no	99.96%
uicool	ulcool	uicool	ulcool	no	99.84%
дисней	дисплей	pandora дисней	pandora дисплей	no	99.99%
панно	ванной	антикварное панно	антикварное ванной	no	99.99%
forza	corsa	forza дровокол	corsa дровокол	no	99.97%
versa	versace	thermaltake versa j21 tg	thermaltake versace j21 tg	no	99.29%
водный	водой	1 ком квартира водный стадион куплю	1 ком квартира водой стадион куплю	no	98.81%
ака	ока	блок на ака	блок на ока	yes	98.91%
босаножки	босоножки	босаножки tamaris	босоножки tamaris	yes	99.99%
sma	gsm	sma разъём	gsm разъём	no	63.83%
ldthm	дверь	infinity qx70 ldthm	infinity qx70 дверь	yes	99.90%
hundai	hyundai	hundai i40 кожанный салон	hyundai i40 кожанный салон	yes	95.40%
перед	передач	перед уселитель бампера субару легаси	передач уселитель бампера субару легаси	no	87.85%
duti	dutti	massimo duti пиджак	massimo dutti пиджак	yes	99.92%
банные	ванны	банные веники ярославль	ванны веники ярославль	no	99.99%
комнаиная	комнатная	4 комнаиная квартира	4 комнатная квартира	yes	99.99%
авомойка	автомойка	авомойка	автомойка	no	50.46%
дир	жир	бампер на грейт вол дир	бампер на грейт вол жир	no	98.52%
холодельник	холодильник	авто холодельник	авто холодильник	yes	99.99%
mag	amg	iptv приставка mag 250	iptv приставка amg 250	no	65.32%
спробегом	пробегом	авто спробегом или битые	авто пробегом или битые	no	99.72%
molo	polo	molo soft shell	polo soft shell	yes	98.71%
бинок	бинокль	бинок	бинокль	no	77.56%
марз	маз	автобус марз	автобус маз	yes	87.62%
ska	sky	ska is my life	sky is my life	no	78.11%
авк	авт	авк	авт	yes	94.21%
focal	focus	expert focal	expert focus	no	95.91%
ревер	реверс	tc ревер	tc реверс	no	97.88%
louren	lauren	ralph louren бейсболка	ralph lauren бейсболка	yes	99.64%
candy	camry	candy 800	camry 800	no	99.41%
аксесуары	аксессуар	аксесуары для ванной	аксессуар для ванной	yes	99.99%
beaba	bebe	beaba cameleo	bebe cameleo	no	99.98%
canyon	canon	canyon strive	canon strive	yes	88.89%
mind	and	deep mind 12	deep and 12	no	94.76%
booster	boost	viltrox ef-e speed booster	viltrox ef-e speed boost	yes	61.49%
корола	королла	бампер корола	бампер королла	yes	99.66%
pfnjxrb	заточки	rfvtym lkz pfnjxrb	rfvtym lkz заточки	yes	91.12%
audio	audi	monitor audio bronze br 5	monitor audi bronze br 5	no	90.26%
ват	ваз	jbl 40 ват	jbl 40 ваз	no	98.52%
jak	jack	jak	jack	yes	99.90%
городок	город	авто городок	авто город	no	85.43%
skania	scania	skania r	scania r	yes	70.11%
база	без	bobbi brown база	bobbi brown без	no	99.42%
rex	red	moser rex	moser red	yes	51.80%
cчетчик	счетчик	cчетчик электроэнергии	счетчик электроэнергии	yes	97.20%
пушка	сумка	4g пушка	4g сумка	no	75.74%
бомбер	бампер	tommy hilfiger бомбер	tommy hilfiger бампер	no	99.85%
ehx	echo	ehx bass soul food	echo bass soul food	yes	92.97%
wolkswagen	volkswagen	блок абс на wolkswagen	блок абс на volkswagen	yes	88.12%
ресталинг	рестайлинг	бампер передний митсубиси асх ресталинг	бампер передний митсубиси асх рестайлинг	yes	99.99%
кан	кран	без кан	без кран	no	99.95%
боты	болты	scoyco боты	scoyco болты	no	98.47%
boox	box	onyx boox moby dick	onyx box moby dick	yes	95.84%
ifinity	infinity	ifinity	infinity	yes	92.85%
касеты	кассеты	аудио касеты	аудио кассеты	yes	99.89%
борзовка	борзовая	борзовка	борзовая	no	99.71%
milenia	millenia	milenia	millenia	yes	99.20%
котеджа	коттеджа	аренда котеджа в токсово	аренда коттеджа в токсово	yes	99.99%
амартизаторы	амортизатора	амартизаторы импреза 3	амортизатора импреза 3	yes	81.74%
моторное	мотором	liqui moly моторное масло	liqui moly мотором масло	no	98.93%
akai	kia	akai lea-22v07p	kia lea-22v07p	yes	87.53%
ir-s	ir-v	ir-s	ir-v	yes	87.73%
evoke	evoque	evoke	evoque	no	95.00%
кэт	кот	арктик кэт м 1100	арктик кот м 1100	no	99.09%
xtrail	x-trail	xtrail t31 фара новая	x-trail t31 фара новая	yes	88.97%
твери	дверь	бани под ключ в твери	бани под ключ в дверь	no	99.99%
m-класс	класс	mercedes-benz m-класс 1999	mercedes-benz класс 1999	no	99.46%
start	sport	smart start 3	smart sport 3	no	99.99%
stix	strix	denta stix	denta strix	no	53.74%
cook	cool	delicious to cook a chuck	delicious to cool a chuck	yes	73.46%
too	the	беговел yedoo too	беговел yedoo the	no	90.57%
bmx	bmw	bmx велосипед	bmw велосипед	no	99.95%
nord	ford	gislaved nord frost van	gislaved ford frost van	no	99.12%
samson	samsung	samson c 1 u	samsung c 1 u	no	73.49%
hills	hilux	anastasia beverly hills для бровей	anastasia beverly hilux для бровей	no	99.33%
mangoos	mongoose	mangoos	mongoose	no	98.93%
asic	asus	asic miner d3 в наличии	asus miner d3 в наличии	no	96.84%
bose	bosch	bose ауди	bosch ауди	no	97.53%
автор	авито	автор прицеп под лодку	авито прицеп под лодку	no	99.99%
мей	мейн	gabbiano мей	gabbiano мейн	no	99.59%
alteza	altezza	alteza решотка	altezza решотка	yes	65.21%
make	max	make	max	no	98.63%
рубанка	рубашка	аренда рубанка	аренда рубашка	no	98.45%
rebook	reebok	rebook свитер	reebok свитер	yes	82.80%
gbjyth	пионер	gbjyth	пионер	yes	99.99%
териос	термос	бампер дайхатсу териос	бампер дайхатсу термос	yes	65.41%
iphon	iphone	iphon 4s	iphone 4s	yes	99.94%
полоз	поло	амурский полоз	амурский поло	no	82.91%
adios	asics	adidas adios boost	adidas asics boost	no	91.99%
wolksvagen	volkswagen	wolksvagen touareg диски оригинальные	volkswagen touareg диски оригинальные	yes	99.99%
антена	антенны	4g антена mimo	4g антенны mimo	yes	99.85%
citizen	citroen	citizen grand	citroen grand	yes	58.08%
cal	call	windows server 2016 cal	windows server 2016 call	yes	99.90%
домик	домов	f30 домик	f30 домов	no	99.51%
леди	лет	бордовая школьная форма маленькая леди	бордовая школьная форма маленькая лет	no	99.90%
аккамулятор	аккумуляторы	canon powershot аккамулятор	canon powershot аккумуляторы	yes	99.19%
сузуки	сумки	бак сузуки	бак сумки	no	99.93%
рессиверы	ресивер	av рессиверы	av ресивер	yes	72.11%
insperon	inspiron	dell insperon	dell inspiron	yes	99.88%
стеклоподьемник	стеклоподъемники	kia spectra стеклоподьемник	kia spectra стеклоподъемники	yes	99.73%
шеврале	шевроле	бампер на шеврале круз	бампер на шевроле круз	yes	99.98%
nord	ford	nord 76	ford 76	yes	68.03%
our	out	our generation лошадь	out generation лошадь	no	97.30%
ikra	ikea	ikra	ikea	no	89.93%
абабурово	сабурово	абабурово	сабурово	no	92.16%
hills	hilux	hills сухой корм для собак	hilux сухой корм для собак	no	99.46%
start	sport	business start up	business sport up	no	99.99%
балгарка	болгарки	балгарка хитачи	болгарки хитачи	yes	99.33%
tesla	teana	tesla усилитель	teana усилитель	no	99.99%
кондеционер	кондиционер	2107 кондеционер	2107 кондиционер	yes	99.99%
phillips	philips	блендер phillips	блендер philips	yes	99.99%
toyo	toyota	toyo proxes t1 sport 225 55 r17	toyota proxes t1 sport 225 55 r17	yes	99.22%
автомагитола	автомагнитолы	автомагитола штатная vw	автомагнитолы штатная vw	no	99.01%
балконные	балконы	балконные окна раздвижные	балконы окна раздвижные	no	99.17%
абонимент	абонемент	абонимент на массаж	абонемент на массаж	yes	99.98%
база	без	база ая	без ая	no	99.93%
матиз	машин	барабан на матиз	барабан на машин	yes	55.27%
mersedes	mercedes	mersedes e	mercedes e	yes	99.99%
анны	ванны	lego месть королевы анны	lego месть королевы ванны	no	99.97%
extrim	extreme	jbl extrim	jbl extreme	yes	93.91%
hflbjyzyz	радионяня	hflbjyzyz	радионяня	yes	99.81%
